customer_id,customer_name,total_orders,reward_tier
57,"Vihaan Gupta",2,Bronze
58,"Krishna Patel",1,Bronze
59,"Sai Reddy",4,Bronze
60,"Muhammad Reddy",4,Bronze
61,"Muhammad Mehta",2,Bronze
62,"Sai Sharma",2,Bronze
64,"Vihaan Reddy",3,Bronze
65,"Aditya Singh",1,Bronze
66,"Sai Reddy",2,Bronze
67,"Krishna Verma",1,Bronze
68,"Krishna Sharma",6,Silver
69,"Vihaan Patel",4,Bronze
70,"Sai Reddy",5,Silver
71,"Aditya Singh",5,Silver
72,"Arjun Nair",7,Silver
73,"Krishna Nair",2,Bronze
74,"Arjun Reddy",3,Bronze
75,"Krishna Sharma",4,Bronze
77,"Krishna Patel",1,Bronze
78,"Vivaan Patel",2,Bronze
79,"Vivaan Reddy",2,Bronze
80,"Ishaan Reddy",4,Bronze
81,"Aarav Bhat",4,Bronze
82,"Ishaan Bhat",4,Bronze
83,"Arjun Reddy",5,Silver
84,"Arjun Singh",1,Bronze
85,"Arjun Nair",4,Bronze
86,"Vivaan Sharma",6,Silver
87,"Ishaan Verma",5,Silver
88,"Vihaan Das",2,Bronze
89,"Reyansh Verma",3,Bronze
90,"Arjun Patel",4,Bronze
92,"Krishna Sharma",2,Bronze
93,"Vivaan Patel",3,Bronze
94,"Vivaan Das",2,Bronze
95,"Arjun Bhat",2,Bronze
96,"Reyansh Reddy",3,Bronze
97,"Sai Gupta",3,Bronze
98,"Muhammad Gupta",2,Bronze
99,"Reyansh Patel",2,Bronze
101,"Aarav Verma",1,Bronze
102,"Aditya Das",5,Silver
103,"Reyansh Bhat",5,Silver
104,"Muhammad Patel",4,Bronze
105,"Reyansh Sharma",1,Bronze
106,"Vihaan Verma",3,Bronze
107,"Krishna Singh",1,Bronze
108,"Aditya Reddy",2,Bronze
109,"Aditya Singh",5,Silver
110,"Reyansh Singh",1,Bronze
111,"Aditya Verma",1,Bronze
112,"Aarav Nair",2,Bronze
113,"Sai Mehta",4,Bronze
114,"Vihaan Reddy",3,Bronze
115,"Vihaan Singh",4,Bronze
116,"Vivaan Gupta",5,Silver
117,"Krishna Singh",3,Bronze
118,"Aarav Verma",3,Bronze
119,"Ishaan Gupta",4,Bronze
120,"Ishaan Singh",7,Silver
121,"Reyansh Singh",2,Bronze
122,"Vivaan Singh",4,Bronze
123,"Arjun Sharma",2,Bronze
124,"Krishna Das",2,Bronze
125,"Muhammad Verma",1,Bronze
126,"Reyansh Verma",2,Bronze
127,"Arjun Singh",2,Bronze
128,"Arjun Das",5,Silver
129,"Muhammad Singh",5,Silver
130,"Ishaan Gupta",4,Bronze
131,"Aarav Gupta",4,Bronze
132,"Muhammad Bhat",3,Bronze
133,"Reyansh Nair",2,Bronze
134,"Vihaan Das",2,Bronze
135,"Aditya Verma",7,Silver
136,"Ishaan Mehta",5,Silver
137,"Vihaan Gupta",1,Bronze
138,"Vihaan Patel",7,Silver
139,"Vihaan Nair",5,Silver
141,"Ishaan Reddy",4,Bronze
142,"Muhammad Reddy",6,Silver
143,"Aarav Verma",1,Bronze
144,"Aditya Das",2,Bronze
145,"Krishna Reddy",5,Silver
146,"Aditya Nair",5,Silver
147,"Ishaan Mehta",3,Bronze
148,"Krishna Singh",1,Bronze
149,"Aditya Nair",3,Bronze
150,"Vihaan Gupta",6,Silver
151,"Vihaan Gupta",5,Silver
152,"Arjun Reddy",2,Bronze
153,"Reyansh Das",4,Bronze
154,"Aditya Reddy",8,Silver
155,"Aditya Reddy",5,Silver
156,"Muhammad Mehta",3,Bronze
157,"Muhammad Sharma",5,Silver
158,"Muhammad Singh",4,Bronze
159,"Aarav Bhat",2,Bronze
160,"Aarav Mehta",2,Bronze
161,"Muhammad Singh",4,Bronze
162,"Krishna Bhat",5,Silver
163,"Vihaan Gupta",5,Silver
164,"Aarav Singh",1,Bronze
165,"Muhammad Patel",4,Bronze
166,"Ishaan Das",4,Bronze
167,"Ishaan Bhat",4,Bronze
168,"Muhammad Patel",2,Bronze
169,"Aarav Gupta",2,Bronze
170,"Vihaan Nair",5,Silver
171,"Muhammad Gupta",1,Bronze
172,"Vivaan Nair",2,Bronze
173,"Krishna Sharma",1,Bronze
174,"Vivaan Sharma",4,Bronze
176,"Vihaan Patel",8,Silver
177,"Vivaan Bhat",1,Bronze
178,"Arjun Mehta",4,Bronze
179,"Ishaan Verma",4,Bronze
180,"Vivaan Bhat",7,Silver
181,"Ishaan Singh",1,Bronze
182,"Vihaan Verma",2,Bronze
183,"Vihaan Verma",1,Bronze
184,"Ishaan Verma",7,Silver
185,"Aarav Mehta",3,Bronze
186,"Reyansh Verma",1,Bronze
187,"Reyansh Sharma",2,Bronze
188,"Sai Verma",6,Silver
189,"Sai Patel",6,Silver
191,"Krishna Nair",6,Silver
192,"Ishaan Gupta",4,Bronze
193,"Vihaan Verma",5,Silver
194,"Sai Reddy",2,Bronze
195,"Ishaan Singh",4,Bronze
196,"Sai Mehta",4,Bronze
197,"Vihaan Mehta",2,Bronze
198,"Arjun Bhat",1,Bronze
199,"Aarav Das",5,Silver
200,"Vihaan Singh",1,Bronze
201,"Vihaan Nair",4,Bronze
202,"Aarav Verma",3,Bronze
203,"Muhammad Reddy",4,Bronze
204,"Ishaan Mehta",4,Bronze
205,"Krishna Mehta",2,Bronze
206,"Krishna Mehta",2,Bronze
207,"Sai Gupta",4,Bronze
208,"Vihaan Verma",2,Bronze
209,"Vivaan Das",3,Bronze
210,"Vihaan Nair",2,Bronze
211,"Ishaan Das",3,Bronze
212,"Vivaan Reddy",2,Bronze
213,"Reyansh Patel",6,Silver
214,"Krishna Patel",3,Bronze
215,"Aarav Das",3,Bronze
216,"Aditya Nair",2,Bronze
217,"Aarav Bhat",3,Bronze
219,"Aarav Gupta",4,Bronze
220,"Vivaan Singh",2,Bronze
221,"Ishaan Sharma",3,Bronze
222,"Ishaan Gupta",1,Bronze
223,"Vivaan Das",2,Bronze
225,"Krishna Singh",4,Bronze
227,"Ishaan Bhat",2,Bronze
228,"Vivaan Reddy",3,Bronze
229,"Vivaan Patel",3,Bronze
230,"Krishna Verma",1,Bronze
232,"Arjun Sharma",4,Bronze
234,"Vihaan Gupta",4,Bronze
235,"Vihaan Singh",4,Bronze
236,"Vihaan Patel",4,Bronze
237,"Aditya Verma",1,Bronze
238,"Arjun Bhat",4,Bronze
239,"Sai Verma",2,Bronze
240,"Arjun Singh",1,Bronze
241,"Krishna Nair",2,Bronze
242,"Ishaan Sharma",4,Bronze
243,"Reyansh Bhat",4,Bronze
244,"Vivaan Reddy",3,Bronze
245,"Aarav Gupta",2,Bronze
246,"Aditya Nair",3,Bronze
247,"Sai Gupta",3,Bronze
248,"Muhammad Nair",4,Bronze
249,"Reyansh Singh",3,Bronze
250,"Vivaan Patel",5,Silver
251,"Sai Gupta",2,Bronze
252,"Krishna Sharma",3,Bronze
253,"Reyansh Gupta",1,Bronze
254,"Muhammad Das",1,Bronze
255,"Krishna Nair",2,Bronze
256,"Vihaan Das",5,Silver
257,"Sai Nair",2,Bronze
258,"Arjun Das",3,Bronze
259,"Sai Nair",2,Bronze
260,"Ishaan Reddy",1,Bronze
262,"Vivaan Reddy",5,Silver
263,"Vivaan Patel",2,Bronze
264,"Arjun Das",3,Bronze
265,"Sai Nair",5,Silver
266,"Krishna Patel",3,Bronze
267,"Ishaan Das",2,Bronze
268,"Vivaan Gupta",5,Silver
269,"Krishna Gupta",5,Silver
270,"Arjun Bhat",2,Bronze
271,"Sai Patel",1,Bronze
272,"Sai Mehta",5,Silver
273,"Krishna Singh",2,Bronze
274,"Vihaan Reddy",4,Bronze
275,"Vihaan Singh",4,Bronze
276,"Sai Singh",3,Bronze
277,"Aditya Nair",4,Bronze
278,"Krishna Bhat",2,Bronze
279,"Vivaan Nair",4,Bronze
280,"Sai Sharma",2,Bronze
281,"Aditya Verma",4,Bronze
282,"Arjun Mehta",6,Silver
283,"Muhammad Verma",1,Bronze
284,"Krishna Singh",3,Bronze
285,"Sai Das",4,Bronze
286,"Vivaan Reddy",2,Bronze
287,"Vivaan Singh",4,Bronze
288,"Vivaan Nair",3,Bronze
289,"Arjun Sharma",6,Silver
290,"Aarav Gupta",2,Bronze
291,"Muhammad Patel",4,Bronze
292,"Muhammad Bhat",2,Bronze
293,"Aditya Verma",1,Bronze
294,"Muhammad Bhat",3,Bronze
295,"Ishaan Patel",3,Bronze
296,"Arjun Nair",2,Bronze
297,"Aarav Nair",1,Bronze
298,"Krishna Patel",2,Bronze
299,"Reyansh Bhat",2,Bronze
300,"Muhammad Gupta",3,Bronze
301,"Arjun Reddy",2,Bronze
302,"Sai Verma",6,Silver
303,"Ishaan Mehta",2,Bronze
304,"Arjun Sharma",4,Bronze
305,"Aarav Bhat",3,Bronze
306,"Sai Gupta",6,Silver
307,"Reyansh Reddy",1,Bronze
308,"Arjun Patel",3,Bronze
309,"Aarav Gupta",2,Bronze
310,"Ishaan Mehta",3,Bronze
311,"Arjun Mehta",6,Silver
312,"Vihaan Patel",4,Bronze
314,"Aditya Gupta",2,Bronze
315,"Arjun Mehta",4,Bronze
316,"Vivaan Patel",4,Bronze
317,"Muhammad Das",3,Bronze
318,"Muhammad Sharma",4,Bronze
319,"Vivaan Nair",2,Bronze
320,"Arjun Bhat",1,Bronze
321,"Reyansh Verma",5,Silver
322,"Aarav Bhat",2,Bronze
323,"Ishaan Reddy",5,Silver
324,"Sai Gupta",2,Bronze
325,"Aditya Sharma",5,Silver
326,"Sai Verma",1,Bronze
327,"Krishna Patel",3,Bronze
328,"Reyansh Das",5,Silver
329,"Aditya Singh",4,Bronze
330,"Sai Bhat",2,Bronze
331,"Aarav Mehta",3,Bronze
332,"Sai Reddy",6,Silver
333,"Reyansh Das",2,Bronze
334,"Muhammad Gupta",1,Bronze
335,"Sai Verma",2,Bronze
336,"Ishaan Sharma",10,Gold
337,"Reyansh Reddy",4,Bronze
338,"Ishaan Reddy",3,Bronze
339,"Krishna Reddy",2,Bronze
340,"Vihaan Mehta",2,Bronze
341,"Ishaan Sharma",3,Bronze
342,"Aditya Patel",2,Bronze
343,"Aditya Verma",1,Bronze
344,"Aarav Mehta",2,Bronze
345,"Reyansh Sharma",4,Bronze
346,"Aarav Patel",2,Bronze
348,"Reyansh Das",2,Bronze
349,"Sai Das",6,Silver
350,"Aarav Das",6,Silver
351,"Aarav Sharma",5,Silver
352,"Muhammad Singh",7,Silver
353,"Sai Verma",6,Silver
355,"Arjun Bhat",2,Bronze
356,"Reyansh Singh",2,Bronze
357,"Arjun Nair",3,Bronze
358,"Muhammad Verma",4,Bronze
359,"Krishna Reddy",3,Bronze
360,"Vihaan Singh",4,Bronze
361,"Sai Singh",6,Silver
362,"Vivaan Mehta",1,Bronze
363,"Arjun Mehta",2,Bronze
364,"Sai Verma",4,Bronze
365,"Vivaan Verma",3,Bronze
366,"Reyansh Patel",1,Bronze
367,"Ishaan Das",1,Bronze
368,"Vivaan Singh",2,Bronze
369,"Muhammad Sharma",1,Bronze
370,"Arjun Mehta",3,Bronze
371,"Krishna Reddy",3,Bronze
372,"Sai Reddy",4,Bronze
373,"Krishna Mehta",4,Bronze
374,"Arjun Bhat",4,Bronze
375,"Muhammad Das",2,Bronze
376,"Krishna Sharma",5,Silver
377,"Arjun Sharma",2,Bronze
378,"Arjun Mehta",5,Silver
379,"Aditya Patel",2,Bronze
380,"Muhammad Verma",3,Bronze
382,"Muhammad Singh",3,Bronze
383,"Aditya Mehta",3,Bronze
384,"Reyansh Bhat",5,Silver
385,"Aarav Patel",2,Bronze
386,"Ishaan Sharma",2,Bronze
387,"Sai Singh",2,Bronze
388,"Sai Singh",2,Bronze
389,"Krishna Verma",6,Silver
390,"Vivaan Gupta",2,Bronze
391,"Krishna Gupta",2,Bronze
392,"Muhammad Bhat",4,Bronze
393,"Vihaan Gupta",4,Bronze
394,"Aditya Gupta",2,Bronze
395,"Vivaan Sharma",2,Bronze
396,"Muhammad Patel",3,Bronze
397,"Krishna Reddy",3,Bronze
398,"Reyansh Verma",2,Bronze
399,"Aarav Singh",2,Bronze
400,"Vivaan Mehta",5,Silver
401,"Ishaan Singh",2,Bronze
402,"Vivaan Singh",4,Bronze
403,"Aditya Bhat",5,Silver
406,"Muhammad Das",4,Bronze
407,"Arjun Mehta",2,Bronze
408,"Aditya Verma",3,Bronze
409,"Vivaan Das",2,Bronze
410,"Reyansh Mehta",4,Bronze
411,"Vivaan Patel",4,Bronze
412,"Aditya Bhat",5,Silver
413,"Vivaan Patel",2,Bronze
414,"Ishaan Bhat",1,Bronze
415,"Ishaan Bhat",1,Bronze
416,"Reyansh Patel",2,Bronze
417,"Sai Nair",2,Bronze
418,"Arjun Bhat",4,Bronze
419,"Krishna Verma",3,Bronze
421,"Arjun Verma",2,Bronze
422,"Ishaan Das",5,Silver
423,"Ishaan Das",3,Bronze
424,"Ishaan Reddy",2,Bronze
425,"Sai Das",4,Bronze
426,"Sai Verma",5,Silver
427,"Vivaan Das",2,Bronze
428,"Vihaan Nair",5,Silver
429,"Krishna Bhat",4,Bronze
430,"Reyansh Gupta",5,Silver
431,"Reyansh Bhat",1,Bronze
432,"Reyansh Verma",4,Bronze
433,"Krishna Singh",2,Bronze
434,"Ishaan Patel",1,Bronze
435,"Ishaan Patel",5,Silver
436,"Muhammad Patel",6,Silver
437,"Vivaan Gupta",1,Bronze
438,"Reyansh Patel",2,Bronze
439,"Muhammad Das",6,Silver
441,"Reyansh Nair",3,Bronze
442,"Aditya Patel",4,Bronze
443,"Vivaan Das",4,Bronze
444,"Krishna Sharma",2,Bronze
445,"Ishaan Patel",1,Bronze
448,"Muhammad Mehta",3,Bronze
449,"Ishaan Gupta",1,Bronze
450,"Krishna Reddy",3,Bronze
451,"Sai Reddy",4,Bronze
452,"Ishaan Nair",6,Silver
453,"Arjun Singh",4,Bronze
454,"Muhammad Patel",4,Bronze
455,"Ishaan Patel",3,Bronze
456,"Sai Mehta",2,Bronze
457,"Krishna Verma",1,Bronze
458,"Aditya Gupta",4,Bronze
459,"Aditya Singh",5,Silver
460,"Sai Mehta",5,Silver
461,"Aarav Singh",2,Bronze
462,"Vihaan Singh",2,Bronze
463,"Vihaan Sharma",2,Bronze
464,"Reyansh Patel",3,Bronze
468,"Aditya Das",2,Bronze
469,"Muhammad Verma",3,Bronze
471,"Muhammad Bhat",3,Bronze
472,"Vivaan Nair",2,Bronze
473,"Aarav Das",1,Bronze
474,"Aditya Gupta",2,Bronze
475,"Ishaan Mehta",3,Bronze
476,"Muhammad Patel",2,Bronze
477,"Reyansh Verma",7,Silver
478,"Krishna Das",1,Bronze
479,"Muhammad Nair",3,Bronze
480,"Muhammad Mehta",1,Bronze
481,"Aarav Mehta",3,Bronze
482,"Vihaan Verma",2,Bronze
483,"Reyansh Patel",3,Bronze
484,"Krishna Mehta",1,Bronze
485,"Sai Nair",1,Bronze
486,"Aditya Verma",6,Silver
487,"Arjun Reddy",2,Bronze
488,"Vihaan Sharma",2,Bronze
489,"Krishna Singh",3,Bronze
490,"Arjun Sharma",5,Silver
491,"Reyansh Sharma",2,Bronze
492,"Vivaan Mehta",2,Bronze
493,"Muhammad Nair",4,Bronze
494,"Aditya Nair",5,Silver
495,"Krishna Gupta",2,Bronze
496,"Muhammad Verma",7,Silver
497,"Aditya Das",3,Bronze
498,"Vivaan Verma",4,Bronze
499,"Arjun Gupta",3,Bronze
500,"Muhammad Patel",4,Bronze
