customer_name,customer_id,total_spent
"Aarav Das",199,6625
"Sai Verma",188,6622
"Muhammad Verma",358,6584
"Sai Reddy",451,6521
"Aarav Gupta",131,6516
"Aditya Nair",216,6503
"Muhammad Singh",382,6467
"Krishna Verma",389,6456
"Reyansh Bhat",299,6449
"Aarav Singh",399,6407
"Sai Reddy",372,6404
"Vihaan Mehta",340,6321
"Arjun Bhat",418,6287
"Vivaan Reddy",228,6258
"Vivaan Das",223,6233
"Muhammad Patel",396,6223
"Krishna Bhat",162,6214
"Krishna Sharma",92,6196
"Sai Mehta",18,6190
"Muhammad Sharma",157,6180
"Krishna Reddy",6,6154
"Reyansh Verma",321,6151
"Aditya Bhat",412,6148
"Ishaan Mehta",310,6140
"Aarav Reddy",45,6096
"Muhammad Patel",165,6093
"Sai Mehta",196,6080
"Arjun Sharma",490,6048
"Arjun Patel",308,6028
"Vihaan Nair",170,6027
"Sai Gupta",247,6015
"Reyansh Sharma",345,5924
"Sai Verma",353,5894
"Sai Reddy",70,5891
"Arjun Sharma",232,5870
"Aarav Patel",346,5864
"Muhammad Patel",476,5863
"Ishaan Das",423,5812
"Ishaan Singh",195,5761
"Aditya Singh",459,5745
"Vivaan Reddy",286,5726
"Vihaan Gupta",151,5621
"Krishna Reddy",371,5618
"Vihaan Verma",182,5598
"Muhammad Bhat",392,5573
"Ishaan Mehta",303,5531
"Krishna Gupta",391,5526
"Ishaan Sharma",221,5445
"Krishna Patel",214,5375
"Ishaan Mehta",204,5349
"Reyansh Reddy",19,5313
"Krishna Singh",107,5304
"Vivaan Verma",365,5261
"Aarav Gupta",219,5237
"Sai Nair",265,5236
"Krishna Singh",284,5225
"Arjun Das",128,5212
"Krishna Patel",58,5207
"Muhammad Mehta",448,5169
"Krishna Das",124,5146
"Krishna Patel",77,5142
"Ishaan Reddy",424,5126
"Sai Sharma",280,5120
"Reyansh Bhat",384,5106
"Krishna Sharma",68,5050
"Aarav Sharma",351,5016
"Reyansh Nair",133,5002
"Aarav Verma",202,4990
"Arjun Nair",357,4981
"Krishna Verma",419,4865
"Ishaan Das",267,4832
"Vihaan Patel",312,4822
"Muhammad Bhat",471,4807
"Aditya Das",497,4806
"Vihaan Reddy",274,4801
"Sai Gupta",306,4793
"Reyansh Sharma",187,4773
"Aditya Gupta",474,4769
"Vihaan Verma",106,4768
"Muhammad Mehta",156,4764
"Muhammad Das",317,4730
"Vihaan Nair",210,4728
"Vivaan Nair",172,4715
"Vivaan Nair",46,4712
"Krishna Verma",3,4706
"Aditya Verma",111,4704
"Muhammad Gupta",334,4680
"Sai Verma",239,4652
"Arjun Nair",85,4624
"Vihaan Gupta",393,4603
"Muhammad Nair",493,4603
"Krishna Singh",433,4590
"Reyansh Patel",438,4579
"Krishna Singh",225,4571
"Vivaan Nair",319,4566
"Krishna Reddy",450,4563
"Vihaan Patel",236,4474
"Reyansh Reddy",30,4462
"Aarav Verma",118,4398
"Aarav Bhat",159,4383
"Vivaan Nair",279,4366
"Krishna Reddy",145,4362
"Vihaan Das",134,4352
"Sai Reddy",194,4344
"Vivaan Patel",411,4320
"Muhammad Sharma",318,4282
"Vivaan Mehta",11,4258
"Aditya Nair",246,4253
"Vivaan Das",209,4165
"Ishaan Bhat",227,4154
"Arjun Bhat",198,4146
"Reyansh Verma",10,4140
"Vivaan Mehta",492,4130
"Sai Reddy",66,4124
"Krishna Reddy",397,4069
"Sai Das",285,4061
"Aditya Patel",442,4052
"Aarav Patel",385,4032
"Ishaan Das",211,3985
"Muhammad Bhat",132,3970
"Ishaan Sharma",341,3910
"Arjun Das",264,3868
"Vivaan Das",409,3864
"Vihaan Singh",275,3817
"Arjun Bhat",95,3805
"Arjun Reddy",74,3801
"Vivaan Sharma",174,3745
"Reyansh Patel",99,3722
"Aditya Mehta",383,3720
"Vivaan Das",94,3708
"Aditya Patel",342,3684
"Vivaan Gupta",390,3623
"Sai Nair",417,3579
"Aditya Das",42,3575
"Vihaan Patel",2,3552
"Vihaan Patel",41,3461
"Sai Reddy",59,3458
"Aditya Gupta",394,3422
"Vihaan Gupta",16,3398
"Vihaan Verma",208,3352
"Reyansh Singh",121,3320
"Reyansh Reddy",96,3294
"Muhammad Bhat",292,3270
"Krishna Gupta",495,3270
"Krishna Mehta",206,3232
"Ishaan Singh",181,3210
"Vivaan Sharma",395,3210
"Aarav Mehta",160,3187
"Sai Singh",276,3177
"Ishaan Das",367,3147
"Krishna Reddy",339,3083
"Ishaan Patel",295,3069
"Krishna Singh",273,3040
"Vivaan Sharma",1,3037
"Vivaan Patel",413,3001
"Krishna Patel",327,2997
"Ishaan Sharma",386,2982
"Sai Singh",387,2953
"Reyansh Das",333,2946
"Muhammad Nair",248,2944
"Ishaan Singh",401,2942
"Vivaan Patel",78,2938
"Aarav Nair",112,2889
"Vivaan Singh",13,2882
"Aarav Mehta",24,2861
"Arjun Mehta",407,2824
"Arjun Reddy",487,2775
"Vihaan Verma",482,2717
"Krishna Singh",117,2695
"Ishaan Bhat",414,2694
"Vivaan Mehta",44,2685
"Arjun Sharma",123,2662
"Reyansh Das",153,2643
"Vivaan Patel",93,2611
"Arjun Bhat",270,2605
"Aarav Bhat",81,2601
"Aarav Gupta",290,2598
"Aditya Das",144,2571
"Ishaan Reddy",260,2544
"Arjun Bhat",320,2544
"Vivaan Nair",472,2543
"Reyansh Verma",89,2534
"Sai Patel",271,2490
"Muhammad Bhat",294,2489
"Arjun Verma",421,2482
"Aditya Reddy",108,2420
"Krishna Nair",255,2402
"Arjun Nair",296,2384
"Sai Nair",257,2360
"Aarav Gupta",309,2359
"Reyansh Verma",398,2349
"Krishna Bhat",278,2304
"Vihaan Patel",69,2209
"Vivaan Bhat",177,2180
"Reyansh Patel",464,2144
"Vihaan Singh",462,2143
"Vihaan Singh",360,2131
"Krishna Nair",241,2127
"Arjun Reddy",152,2112
"Sai Nair",485,2076
"Sai Gupta",324,2052
"Vihaan Singh",200,2040
"Vivaan Nair",288,2034
"Aarav Mehta",331,2023
"Sai Patel",27,2022
"Vivaan Reddy",79,2021
"Krishna Mehta",484,1940
"Vihaan Gupta",57,1931
"Vivaan Das",427,1911
"Aarav Gupta",245,1890
"Aarav Das",473,1866
"Krishna Das",478,1839
"Arjun Patel",9,1720
"Krishna Sharma",173,1699
"Sai Sharma",62,1695
"Arjun Sharma",377,1675
"Vivaan Singh",220,1640
"Aarav Singh",461,1566
"Reyansh Das",348,1517
"Sai Verma",326,1500
"Muhammad Gupta",98,1499
"Muhammad Sharma",369,1499
"Sai Verma",335,1485
"Muhammad Das",375,1485
"Aarav Das",215,1472
"Krishna Verma",67,1443
"Reyansh Reddy",307,1431
"Aarav Nair",297,1428
"Vivaan Patel",32,1385
"Vivaan Singh",287,1384
"Vihaan Mehta",197,1383
"Arjun Reddy",301,1360
"Ishaan Gupta",449,1341
"Ishaan Patel",434,1332
"Vivaan Gupta",437,1313
"Sai Gupta",251,1302
"Vivaan Reddy",212,1280
"Vivaan Mehta",362,1276
"Aditya Singh",71,1166
"Arjun Sharma",12,1153
"Ishaan Bhat",415,1121
"Reyansh Sharma",105,1120
"Aditya Nair",38,1092
"Reyansh Sharma",23,1090
"Ishaan Singh",29,1084
"Muhammad Reddy",203,1068
"Muhammad Verma",283,1052
"Reyansh Sharma",491,1038
"Aditya Patel",379,952
"Muhammad Gupta",171,892
"Vivaan Patel",263,854
"Aarav Gupta",169,835
"Aditya Verma",343,825
"Vivaan Gupta",40,819
"Krishna Sharma",444,805
"Arjun Mehta",363,759
"Vihaan Sharma",488,755
"Vihaan Verma",183,704
"Vihaan Verma",17,660
"Sai Verma",31,658
"Aarav Singh",164,615
"Arjun Das",39,556
"Krishna Nair",73,520
"Arjun Bhat",355,493
"Krishna Singh",148,475
"Reyansh Bhat",431,439
"Arjun Singh",84,412
"Vivaan Singh",368,402
"Muhammad Nair",479,389
"Aarav Mehta",344,368
"Ishaan Gupta",222,320
"Aditya Singh",65,273
"Krishna Mehta",205,264
"Aditya Verma",293,214
"Muhammad Bhat",33,184
"Reyansh Patel",366,86
